City,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed
Clyde River,70.47,-68.59,14.0,85,75,3.36
Mount Isa,-20.73,139.5,69.8,30,0,9.17
Konstantinovka,49.62,127.98,54.5,35,100,19.01
Guarujá,-23.99,-46.26,71.02,88,75,4.7
Kumul,42.8,93.45,62.38,21,100,11.95
Tessalit,20.2,1.01,87.4,11,5,5.64
Mossamedes,-15.2,12.15,74.34,71,78,4.61
Esperance,-33.87,121.9,59.0,100,75,13.87
Rio Grande,-32.03,-52.1,66.99,87,0,1.01
Severo-Kuril'sk,50.68,156.12,34.39,88,9,10.07
Masallātah,32.62,14.0,66.92,49,19,12.64
Faya,18.39,42.45,63.5,72,88,10.29
Porbandar,21.64,69.61,80.01,74,24,12.82
Rome,43.21,-75.46,45.61,36,20,20.8
Port Hardy,50.7,-127.42,51.8,81,20,4.7
Vikersund,59.97,9.99,40.01,59,0,3.0
Potsdam,52.4,13.07,47.73,33,3,1.01
Pangai,-19.8,-174.35,82.4,83,20,16.11
Matara,5.95,80.54,78.55,87,7,4.12
Barsovo,61.17,73.17,48.2,66,40,4.47
Holme,56.11,10.17,37.17,74,0,2.24
Sinnamary,5.38,-52.95,81.12,82,34,10.16
Sistranda,63.73,8.83,42.06,93,75,8.05
Bacsay,15.65,120.33,78.8,83,40,2.24
Saint-Pierre,-21.34,55.48,71.55,83,20,11.41
Tim,51.62,37.12,39.0,68,70,1.99
Alice Springs,-23.7,133.88,59.0,54,20,4.7
Kruisfontein,-34.0,24.73,65.19,43,0,6.08
Tasiilaq,65.61,-37.64,33.8,80,100,14.99
Ijuí,-28.39,-53.91,70.56,47,0,5.14
Saldanha,-33.01,17.94,66.2,39,92,3.36
Mokhsogollokh,61.47,128.92,6.87,93,92,3.29
Dori,14.04,-0.03,85.68,14,1,3.33
Dikson,73.51,80.55,35.24,89,100,19.1
Pisco,-13.7,-76.22,74.23,64,21,16.11
Coyhaique,-45.58,-72.07,46.4,93,90,8.05
Luanda,-8.84,13.23,78.8,88,40,2.24
Cherskiy,68.75,161.3,2.01,87,42,6.58
Tianpeng,30.99,103.94,62.01,1,74,1.99
Vaini,-21.2,-175.2,78.8,78,75,11.41
La Ronge,55.1,-105.28,32.0,85,75,13.87
Faanui,-16.48,-151.75,82.87,73,26,9.57
Necochea,-38.55,-58.74,67.64,66,35,10.0
Beloha,-25.17,45.05,71.65,82,12,12.01
Kalmunai,7.42,81.82,81.66,79,65,5.41
Hamilton,39.18,-84.53,54.97,47,1,9.17
Hilo,19.73,-155.09,77.32,51,40,11.41
Jamestown,42.1,-79.24,44.17,45,40,16.11
Jiuquan,39.74,98.52,49.53,26,99,1.77
Połczyn-Zdrój,53.76,16.1,42.21,61,3,7.11
Airai,-8.93,125.41,59.76,56,44,2.86
Makakilo City,21.35,-158.09,79.52,57,1,9.17
Stornoway,58.21,-6.39,43.3,87,0,1.12
Blythe,33.61,-114.6,79.18,22,1,5.82
Ndioum,16.51,-14.65,84.2,28,42,2.24
Chokurdakh,70.63,147.92,-6.72,88,100,8.59
Gewanē,10.17,40.65,71.06,73,100,21.3
Drumnadrochit,57.33,-4.48,42.03,86,0,3.36
Saint-Ambroise,48.55,-71.33,42.87,60,99,8.14
San Juan,-31.54,-68.54,88.34,18,0,5.97
Mahébourg,-20.41,57.7,77.4,88,40,14.99
Borogontsy,62.67,131.17,2.26,87,42,2.48
Nanortalik,60.14,-45.24,29.5,91,82,3.91
Werda,-25.27,23.28,75.34,25,60,3.4
Paita,-5.09,-81.11,80.02,59,8,11.14
Batagay,67.63,134.63,-5.8,87,74,1.52
Corn Island,12.17,-83.04,82.36,69,15,8.55
Eureka,40.8,-124.16,55.42,71,99,5.01
Asău,46.43,26.4,48.72,53,22,4.7
Vostok,46.49,135.88,36.91,71,41,3.8
Bolshevik,54.01,27.57,35.6,64,99,6.71
North Bend,43.41,-124.22,55.45,76,90,11.41
Nantucket,41.28,-70.1,39.33,93,90,25.28
Tarabha,20.73,83.65,82.72,36,2,3.33
Pangody,65.85,74.49,36.19,96,100,13.13
Narsaq,60.92,-46.05,32.0,92,88,5.82
Loukhi,66.08,33.04,29.01,97,85,7.02
Alma,48.55,-71.65,46.0,33,100,1.99
Yerbogachën,61.28,108.01,9.88,91,3,5.57
Tres Arroyos,-38.37,-60.28,71.69,38,0,13.87
Deputatsky,69.3,139.9,-9.35,72,58,1.99
Brigantine,39.41,-74.36,47.05,63,90,23.04
Beni,0.5,29.47,64.09,72,100,1.12
New Bern,35.11,-77.04,68.47,40,1,18.34
Alkhazurovo,43.06,45.64,44.6,81,100,2.04
Katsuura,35.13,140.3,56.62,82,20,5.82
Tautira,-17.73,-149.15,87.8,66,78,3.36
Coahuayana Viejo,18.73,-103.68,89.6,40,40,17.22
Mutare,-18.97,32.67,60.98,72,15,3.94
Hobyo,5.35,48.53,84.65,72,90,10.94
Tura,25.52,90.22,66.11,75,10,2.73
Honningsvåg,70.98,25.97,37.92,84,100,5.14
Chuchar-kana Mandi,31.75,73.8,69.8,68,20,6.93
Gizo Government Station,-8.1,156.84,82.04,74,52,3.4
Foam Lake,51.65,-103.53,25.99,89,100,14.38
Tuatapere,-46.13,167.68,46.4,83,54,4.81
Port Alfred,-33.59,26.89,63.0,94,0,5.01
George Town,5.41,100.34,80.11,94,40,3.36
Sinjai,-5.12,120.25,79.34,77,100,2.48
Bengkulu,-3.8,102.27,76.73,85,100,4.03
Quatre Cocos,-20.21,57.76,77.52,88,40,14.99
Husavik,66.04,-17.34,44.6,75,75,27.51
Port Elizabeth,-33.92,25.57,64.4,93,0,2.24
Torrington,41.8,-73.12,37.31,94,99,4.0
Shumskiy,54.83,99.13,27.43,92,73,2.75
Calvinia,-31.47,19.78,65.62,18,17,2.82
Margate,51.38,1.39,47.75,92,15,12.28
Tocopilla,-22.09,-70.2,80.13,30,5,6.78
Whitehorse,60.72,-135.05,55.4,30,20,6.93
Methven,-43.63,171.65,55.47,64,9,5.01
Ayan,56.45,138.17,13.6,84,95,10.85
Santa Maria,-29.68,-53.81,69.48,63,0,4.94
La Unión,-5.4,-80.75,81.88,55,1,9.86
Patiya,22.29,91.98,73.38,92,72,5.21
Longyearbyen,78.22,15.64,28.4,74,20,2.24
Franklin,39.97,-83.02,51.78,43,75,16.11
East London,-33.02,27.91,71.22,66,0,17.54
Qui Nhon,13.77,109.23,76.28,88,76,5.68
Menongue,-14.66,17.69,63.75,59,89,4.56
Puerto Escondido,15.85,-97.07,86.0,84,40,8.05
Saint George,37.1,-113.58,68.58,28,75,10.29
Graaff-Reinet,-32.25,24.53,65.62,22,0,3.58
Hasaki,35.73,140.83,53.19,76,75,6.93
Ostrovnoy,68.05,39.51,30.58,97,99,8.61
Ouésso,1.61,16.05,72.68,87,97,2.08
Arraial do Cabo,-22.97,-42.03,74.43,78,75,4.7
Hurghada,27.26,33.81,71.6,40,0,4.7
Bayanga,7.52,124.25,73.47,63,5,4.25
Hazebrouck,50.72,2.54,45.7,87,42,7.25
Lydenburg,-25.1,30.46,58.32,93,14,5.01
Tsimmerbude,54.67,20.13,39.2,64,20,11.18
Mount Gambier,-37.83,140.77,46.4,100,90,6.93
Ilulissat,69.22,-51.1,24.8,79,100,5.82
Coolum Beach,-26.53,153.1,64.99,94,98,4.52
Darbhanga,26.17,85.9,78.98,54,70,10.83
Verkhoyansk,67.54,133.38,-6.11,83,9,1.79
Beyneu,45.32,55.2,63.36,37,90,7.96
Pochutla,15.74,-96.47,88.18,62,20,17.22
Kalundborg,55.68,11.09,42.37,71,0,4.7
Palmer,42.16,-72.33,40.75,75,90,10.29
Brae,60.4,-1.35,39.74,86,0,1.12
Santiago del Estero,-27.8,-64.26,80.26,37,0,9.06
Chui,-33.7,-53.46,66.63,82,18,7.23
Saint-Joseph,-21.37,55.62,70.47,83,20,11.41
Pacific Grove,36.62,-121.92,60.55,51,90,10.29
Lastoursville,-0.81,12.73,74.41,84,17,2.3
Quthing,-30.4,27.7,53.02,27,0,2.33
Chalán,9.55,-75.31,86.47,55,39,10.07
Tezu,27.92,96.17,70.29,65,98,2.73
Natal,-5.79,-35.21,82.4,78,40,4.7
Dongsheng,39.82,109.98,38.14,55,15,13.15
Broome,42.25,-75.83,41.14,48,90,16.11
Nelson Bay,-32.72,152.15,52.66,87,16,3.94
Lilongwe,-13.97,33.79,62.74,69,1,5.37
Klaksvík,62.23,-6.59,42.8,81,0,14.99
Los Llanos de Aridane,28.66,-17.92,61.21,68,2,19.46
Elmira,42.09,-76.81,42.35,48,90,8.05
Vestmannaeyjar,63.44,-20.27,45.5,93,100,17.11
Port Lincoln,-34.73,135.87,58.19,75,33,8.25
Kirakira,-10.45,161.92,78.71,80,100,4.29
Leningradskiy,69.38,178.42,2.21,88,6,7.49
Hambantota,6.12,81.12,81.46,80,23,6.29
Ormara,25.21,64.64,77.65,84,48,11.59
Ottersberg,53.1,9.15,47.32,66,0,5.99
Sterling,39.01,-77.43,52.54,40,40,13.87
Poum,-20.23,164.02,78.22,77,74,14.2
Kahului,20.89,-156.47,78.73,48,20,19.46
Barwāla,29.38,75.92,75.31,41,3,0.85
Hofn,64.25,-15.21,45.36,87,100,17.56
Oussouye,12.48,-16.55,76.93,73,29,13.87
San Jose,37.34,-121.89,67.41,42,40,3.78
Bāgepalli,13.78,77.79,78.8,57,40,6.93
Sibolga,1.74,98.78,77.31,80,100,2.73
Khovd,48.01,91.64,33.98,41,0,2.66
Kaitangata,-46.28,169.85,50.5,73,100,7.0
Houndé,11.5,-3.52,91.36,30,91,7.85
Panzhihua,26.59,101.71,63.88,37,16,1.63
Bundaberg,-24.85,152.35,71.82,100,90,9.17
Dolores,-36.31,-57.68,66.76,67,0,7.83
Grindavik,63.84,-22.43,35.06,93,90,8.05
Kiryat Gat,31.61,34.76,63.21,18,0,7.49
Domoni,-12.26,44.53,82.11,73,37,6.02
Aden,12.78,45.04,83.12,75,8,16.96
Sosnovo-Ozerskoye,52.52,111.54,22.42,77,99,6.91
Lagos,6.58,3.75,84.2,83,40,8.05
Beringovskiy,63.05,179.32,19.74,96,100,17.29
Portland,45.52,-122.68,51.98,76,90,10.29
Fortuna,40.6,-124.16,57.11,76,90,6.73
Talnakh,69.49,88.4,37.4,74,100,29.08
Esmeraldas,-19.76,-44.31,70.7,73,75,11.41
Port Hedland,-20.32,118.57,75.2,100,99,6.93
Valparaíso,-33.04,-71.63,67.44,64,66,20.8
Lagoa,39.05,-27.98,62.29,91,100,23.26
Sidrolândia,-20.93,-54.96,80.6,44,0,6.93
Tuktoyaktuk,69.45,-133.04,8.6,84,75,6.93
Tual,-5.67,132.75,84.11,75,99,8.68
Bandar-e Anzali,37.47,49.46,56.66,84,1,2.73
Vila Franca do Campo,37.72,-25.43,62.6,93,75,13.87
Bilibino,68.05,166.44,1.38,81,63,4.97
Fairbanks,64.84,-147.72,40.87,93,90,2.17
Raudeberg,61.99,5.14,40.71,75,0,5.82
Great Bend,38.36,-98.76,70.21,28,1,20.8
Manacapuru,-3.3,-60.62,77.0,88,40,3.36
Doha,25.29,51.53,75.79,78,44,4.7
Trelew,-43.25,-65.31,72.64,55,81,15.77
Cap Malheureux,-19.98,57.61,77.65,88,40,14.99
Āsosa,10.07,34.53,73.53,10,76,0.78
Kargasok,59.06,80.86,40.69,77,91,13.35
Vetlanda,57.43,15.08,35.82,74,7,5.82
Rusape,-18.53,32.13,59.36,59,12,7.38
Korsakovo,53.27,37.36,34.88,78,28,8.19
Sal Rei,16.18,-22.92,71.6,64,40,14.99
Longonjo,-12.91,15.25,63.05,57,99,3.38
Cockburn Town,21.46,-71.14,82.4,65,40,10.29
Oranjestad,12.52,-70.03,84.2,70,40,23.04
Oddur,4.12,43.89,79.9,61,100,15.48
Torbay,47.67,-52.73,37.08,44,75,11.41
Villa Carlos Paz,-31.42,-64.5,76.6,36,0,13.87
Waipawa,-41.41,175.52,61.21,59,0,25.28
Karema,-6.82,30.44,73.08,64,88,4.45
Saint Anthony,45.02,-93.22,61.3,38,90,12.75
Jacareacanga,-6.22,-57.75,80.65,88,69,0.27
Dingle,11.0,122.67,78.66,82,2,9.37
Aklavik,68.22,-135.01,23.61,73,75,8.05
Sitka,57.05,-135.33,46.13,87,40,3.36
Patan,27.67,85.33,57.2,87,20,2.24
Wellington,-41.29,174.78,60.89,59,1,24.16
Souillac,-20.52,57.52,77.47,88,40,14.99
Pāsighāt,28.07,95.33,68.13,76,80,2.06
Olinda,-8.01,-34.86,84.2,79,40,6.93
Songea,-10.68,35.65,68.0,82,5,3.36
San Patricio,19.22,-104.7,80.6,83,20,17.22
Itarema,-2.92,-39.92,79.18,81,33,3.91
Oudtshoorn,-33.59,22.2,66.2,39,0,6.93
Sojat,25.92,73.67,78.31,31,72,3.09
Kavieng,-2.57,150.8,81.88,78,92,4.0
Baykit,61.67,96.37,18.95,91,0,1.5
Baoying,33.23,119.31,50.59,94,100,9.93
Keokuk,40.4,-91.38,60.57,38,1,24.16
Tilichiki,60.47,166.1,7.43,90,0,10.0
San Cristobal,7.77,-72.22,87.8,45,40,8.05
Bikaner,28.02,73.3,81.37,31,100,6.67
San Fernando del Valle de Catamarca,-28.47,-65.79,78.01,58,0,8.99
Trairi,-3.28,-39.27,80.26,79,51,4.05
Kilimatinde,-5.85,34.95,65.12,66,100,2.08
Emerald,-23.53,148.17,73.67,88,40,6.93
Gornopravdinsk,60.05,69.9,42.33,82,70,9.1
Korla,41.76,86.15,59.32,37,99,9.98
Kondinskoye,59.65,67.41,39.0,80,67,10.96
Meulaboh,4.14,96.13,78.67,83,61,4.43
Abashiri,44.02,144.27,39.67,79,100,7.61
Qasigiannguit,68.82,-51.19,24.8,79,100,5.82
Takaka,-40.85,172.8,60.01,68,27,12.26
Okahandja,-21.98,16.92,64.4,82,20,3.36
Puerto Colombia,10.99,-74.95,87.8,62,20,12.75
Beira,-19.84,34.84,78.8,78,40,17.22
Tarija,-21.54,-64.73,66.65,29,5,6.85
Vallenar,-28.57,-70.76,78.31,33,0,7.43
Morondava,-20.28,44.28,78.31,73,0,7.14
Rūdbār,30.15,62.6,74.16,30,94,5.59
Fernley,39.61,-119.25,60.17,21,35,4.52
Ishigaki,24.34,124.16,75.2,100,75,12.75
Kodinsk,58.69,99.18,21.58,93,0,3.38
Zainsk,55.32,52.07,33.8,86,18,11.18
Taunggyi,20.78,97.03,61.65,36,9,2.21
Bassano,50.78,-112.47,42.01,46,100,3.0
Shache,38.42,77.24,56.03,37,99,10.04
Rize,40.9,40.89,37.4,51,70,2.73
San Rafael,-34.62,-68.33,81.54,25,67,18.19
Vila Velha,-20.33,-40.29,76.46,65,20,12.75
Xiantao,30.38,113.4,53.46,87,95,11.63
Urengoy,65.97,78.37,38.28,91,100,20.54
Marzuq,14.4,46.47,74.8,47,83,4.34
Chernyshevskiy,63.01,112.47,5.31,91,56,4.92
Katherine,-14.47,132.27,71.6,78,2,4.25
Altamira,-3.2,-52.21,79.84,81,84,1.95
Birjand,32.87,59.22,56.21,40,60,5.26
Çubuk,40.24,33.03,51.4,57,21,2.24
Ibrā’,22.69,58.53,79.81,36,58,5.12
Barra do Garças,-15.89,-52.26,78.22,75,75,1.14
Senador José Porfírio,-2.59,-51.95,79.47,82,63,2.42
Port-Gentil,-0.72,8.78,82.06,83,59,10.16
Safi,32.3,-9.24,62.96,80,39,8.21
Salalah,17.02,54.09,82.4,69,40,5.82
General Roca,-39.03,-67.58,87.8,25,100,6.93
Lakes Entrance,-37.88,147.98,48.99,90,77,7.61
Bindki,26.03,80.6,86.02,20,28,7.7
Yangi Marg`ilon,40.43,71.72,53.6,66,4,2.24
Sioux Lookout,50.1,-91.92,38.05,51,90,10.29
San Ramon,37.78,-121.98,64.04,48,1,10.29
Zhigansk,66.77,123.37,1.26,93,88,12.15
Rawson,-43.3,-65.1,69.08,63,76,17.13
Makkah al Mukarramah,21.43,39.83,77.09,44,100,3.04
Batemans Bay,-35.72,150.18,49.68,100,95,1.72
Montepuez,-13.13,39.0,68.07,85,6,6.62
Vangaindrano,-23.35,47.6,73.04,86,70,3.09
Jiujiang,29.73,115.98,57.87,90,97,6.44
Tsabong,-26.02,22.4,79.39,22,42,11.52
Pinawa,50.15,-95.88,41.36,57,94,10.69
Vuktyl,63.86,57.31,33.33,91,100,4.45
Lindi,-10.0,39.72,77.0,94,75,6.93
Ucluelet,48.93,-125.55,56.03,81,75,6.93
Lorengau,-2.02,147.27,82.47,74,3,3.04
Lashio,22.93,97.75,65.05,45,0,1.74
Tutóia,-2.76,-42.27,80.04,82,99,5.55
Igrim,63.19,64.42,34.09,96,100,4.79
Esim,4.87,-2.24,81.77,82,40,8.66
Vanimo,-2.67,141.3,80.37,80,100,4.59
Comodoro Rivadavia,-45.87,-67.5,71.6,33,75,17.22
Marathon,44.9,-89.77,60.8,29,20,23.04
Mbandaka,0.05,18.26,71.74,86,84,2.15
Changde,29.05,111.68,54.57,87,100,6.38
Vardø,70.37,31.11,36.14,82,91,19.93
Östersund,63.18,14.64,34.77,83,0,13.87
Kidal,18.44,1.41,90.97,9,2,7.63
Nichinan,31.6,131.37,50.22,87,75,8.05
Genhe,50.78,121.52,27.55,77,100,7.9
Phan Thiet,10.93,108.1,78.4,84,97,5.77
Roald,62.58,6.13,39.33,86,0,10.29
Pacifica,37.61,-122.49,60.3,67,90,9.17
Mezhdurechensk,53.69,88.06,35.49,74,0,4.7
Martin,27.08,-80.42,76.39,88,60,12.46
Jacqueville,5.21,-4.41,86.0,74,20,11.41
Walla Walla,46.06,-118.34,67.51,29,1,10.29
Tateyama,34.98,139.87,57.2,82,20,5.82
Nioro,13.35,-15.75,82.18,27,74,10.11
Charters Towers,-20.1,146.27,71.55,81,22,4.18
Talcahuano,-36.72,-73.12,62.6,88,20,10.29
Bougouni,11.42,-7.48,93.13,21,98,3.36
Nipawin,53.37,-104.0,33.8,50,90,11.41
Bayangol,50.7,103.47,23.32,71,0,3.6
Loandjili,-4.76,11.86,78.91,82,100,3.09
Sola,-13.88,167.55,82.4,94,75,12.12
Pong,19.15,100.28,78.33,49,14,1.95
Ulagan,50.63,87.96,32.81,49,0,3.71
Sovetskaya Gavan',48.97,140.29,31.51,96,77,5.97
Buala,-8.14,159.59,81.12,78,86,0.67
Lüderitz,-26.65,15.16,57.2,93,7,2.24
Usinsk,65.99,57.53,27.3,99,99,4.03
Aldan,58.6,125.39,2.21,86,91,2.95
Port-Cartier,50.03,-66.87,35.82,59,75,10.29
Nokaneng,-19.67,22.27,75.0,38,50,4.97
Elizabeth City,36.29,-76.25,63.7,52,1,19.46
Atambua,-9.11,124.89,72.16,75,54,3.71
Bindura,-17.3,31.33,62.51,59,18,2.59
Zabul Province,32.25,67.25,51.17,25,7,8.05
Ust-Nera,64.57,143.2,-5.91,77,99,6.15
Nuuk,64.18,-51.72,28.4,63,100,18.34
Manakara,-22.13,48.02,73.83,86,29,5.39
Aksarka,66.56,67.8,32.07,97,100,1.45
Olafsvik,64.89,-23.71,34.56,88,100,2.62
Saint-Augustin,51.23,-58.65,28.76,89,56,16.08
Wynyard,-41.0,145.72,47.01,9,97,3.0
Matonga,-2.38,34.08,64.45,68,100,2.8
Constitución,-35.33,-72.42,65.19,83,83,9.69
Porto Belo,-27.16,-48.55,71.28,78,20,9.17
Takoradze,4.88,-1.76,81.82,82,67,8.97
Blessington,53.17,-6.53,44.53,100,90,8.05
Dvinskoy Bereznik,62.86,42.71,29.79,97,3,2.62
San Pedro de Macorís,18.46,-69.3,85.41,62,20,6.93
Ambon City,-3.7,128.18,82.69,73,70,2.75
Kui Buri,12.08,99.85,79.57,80,49,4.83
Brattleboro,42.85,-72.56,40.86,75,97,1.01
Mwinilunga,-11.74,24.43,63.14,63,85,5.88
Vikhorevka,56.12,101.16,21.09,44,0,6.71
Forestville,38.85,-76.88,53.2,40,20,20.8
Kushima,31.46,131.23,49.28,87,75,8.05
Ouahigouya,13.58,-2.42,94.87,18,80,6.38
Izazi,-7.2,35.73,66.2,88,75,2.33
Ca Mau,9.18,105.15,79.02,87,46,5.75
El Sauzal de Rodríguez,31.9,-116.68,66.78,70,47,5.01
Apatou,5.16,-54.35,79.14,90,100,3.33
Udachny,66.42,112.4,8.6,50,0,4.47
Lucapa,-8.42,20.74,65.14,74,98,3.89
Santa Rosa,14.31,121.11,81.46,78,75,4.7
Phek,25.67,94.5,52.77,57,95,2.19
Kropotkin,45.44,40.58,50.67,70,99,3.58
Toguchin,55.24,84.39,36.79,77,25,6.6
Romans-sur-Isère,45.05,5.06,55.06,80,98,3.74
Hala,25.81,68.42,83.5,36,77,11.5
Epe,6.58,3.98,80.87,86,47,7.18
Chapais,49.78,-74.85,39.2,35,1,17.22
Ancud,-41.87,-73.82,55.4,93,90,12.75
Vilhena,-12.74,-60.15,80.6,65,20,4.7
Lensk,60.73,114.93,13.08,93,91,3.98
Carson City,39.16,-119.77,62.73,23,1,12.75
Turan,16.07,108.22,76.66,94,20,3.36
Inhambane,-23.86,35.38,75.04,78,28,14.32
Malbork,54.04,19.03,33.51,81,0,6.29
Kotido,2.98,34.13,67.55,65,100,7.67
Caravelas,-17.71,-39.25,76.51,78,94,19.64
Sawtell,-30.38,153.1,61.84,93,40,3.36
Brookhaven,31.58,-90.44,73.27,71,99,3.0
Aurangabad,19.88,75.33,83.97,25,14,6.31
Karratha,-20.74,116.85,82.06,60,100,8.84
Yunyang,33.45,112.71,46.26,82,23,0.51
Whitehaven,54.55,-3.58,47.57,78,88,3.67
Saint-Gilles,43.68,4.43,57.97,87,98,2.24
Anadyr,64.75,177.48,14.0,92,90,20.13
Pascagoula,30.37,-88.56,78.51,65,90,6.38
Cayenne,4.93,-52.33,84.2,74,20,8.05
Teya,60.38,92.63,27.25,94,71,3.51
Alta Floresta,-9.88,-56.09,77.0,94,75,2.24
Esil,51.96,66.4,51.75,65,100,9.35
Yumen,40.28,97.2,51.57,24,93,11.27
Presidencia Roque Sáenz Peña,-26.79,-60.44,76.51,46,0,4.29
Hyères,43.12,6.12,56.21,93,99,1.12
Nishihara,26.18,127.76,70.56,94,40,6.93
Notsé,6.95,1.17,78.78,81,46,5.06
